"Uniprot_ID","Gene_names","Protein_names","pVal","WT_Relative_amplitudes","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"O88271","Cfdp1","Craniofacial development protein 1",0.0194130821921156,0.165649454041289,21,12,24,210134.542868679,204264.338262657,198122.828208778,207960.026735788,207972.141554245,205167.097164965,213776.124967817,202373.830760063,198751.402868301,191462.55883231,189102.628226677,184585.73910204,191625.458755502,193579.300568884,207713.637449137,220308.609474415,202120.038275609,202761.810531991,197101.514060811,200670.647810397,202995.294351139,200558.818243838,205118.000290344,199978.402384264
"Q3TEL0","Ppt1","Palmitoyl-protein thioesterase 1",0.00353548331819426,0.112301059516028,21,9,24,424824.313967093,414127.958057526,429013.65264878,436890.038843413,435917.463010564,449577.342072265,443145.663265484,434498.485662377,402291.296487217,424538.524529291,420459.818240829,446537.983709532,430164.512512009,456138.230668937,440106.163922483,436403.494461536,443018.128003052,433909.335596103,446037.337979587,455479.548765954,455969.40080607,435041.226981229,461861.924401301,456387.684786962
"Q99KF5","Hprt","Hypoxanthine-guanine phosphoribosyltransferase",0.0477993455771089,0.168162137258055,9,15,24,619133.666963357,585599.287461358,597051.940000095,640332.697583191,579883.379380333,594750.325384849,576183.486350697,554406.882993416,594075.648455849,584754.306565699,636428.04129483,570325.296984137,588084.976363975,557343.540314431,555250.875796124,521162.717485287,580877.327037566,561303.500712559,568218.432769342,545630.661166307,553866.216515047,519776.626250126,555915.177685077,535749.438813483
"P02463","Col4a1","Collagen alpha-1(IV) chain;Arresten",0.0396012123353167,0.178376538696405,9,12,24,16481.5738910882,17303.6424106085,18255.6480601882,17425.6447202825,18471.4388294968,16353.7924514764,16197.8686462107,18358.7269552638,17459.0317818343,15460.0552757711,18610.0716308,18079.5911611102,16395.7410663807,17797.3436483124,16890.4733008799,16808.9602957615,16816.7023237365,18082.8309393137,18119.9893551795,17182.1584927443,17019.3221789592,18177.083198371,15697.2121896512,18356.6601767088
"P04918","Saa3","Serum amyloid A-3 protein",0.0121354193803085,0.314066630153777,6,9,24,120491.544892437,110340.57824472,100163.017962414,104695.856652257,94401.327223952,94162.9535084917,101272.990731395,114133.261157699,94266.83929952,97702.5107335979,88405.7364978999,80577.3145891209,93087.5813530813,86756.375867527,97293.8283172852,97557.6659191617,102873.900891159,111220.576027474,99831.3866391081,99287.6472469158,96967.5943680797,101178.249301388,101602.920070438,107532.844838286
"P05202","Got2","Aspartate aminotransferase, mitochondrial",0.0137606465581692,0.136114269624984,9,9,24,2241901.469928,2213493.27542914,2251944.27794653,2307750.34888059,2236291.05574294,2181863.21259672,2119336.19388698,2163409.81097363,2330158.74114895,2378125.10375287,2417162.37738555,2290981.80132338,2229098.32877007,2123950.33510905,2261487.41242833,2217501.15719153,2240681.29914548,2145265.59962023,2350350.55046577,2200353.40969029,2328308.30815422,2197451.34041801,2321660.00553014,2181978.25334529
"P08030","Aprt","Adenine phosphoribosyltransferase",0.0144581056131626,0.134743343340615,15,15,24,495416.523319281,489097.817318261,486402.677079332,493968.694067898,511481.824127429,510988.502394619,502835.933181342,493932.268450263,502171.215708892,467874.311364734,520026.591400998,500656.107342804,527960.003815902,488098.264772973,505915.753372301,460701.64499621,506620.16074445,487893.78477505,510537.187341884,490308.719493586,505935.59296119,501705.394252248,506549.33894857,486369.135125674
"P15920","Atp6v0a2","V-type proton ATPase 116 kDa subunit a isoform 2",0.000297288073457887,0.166842059444382,21,15,24,92594.2432949432,99100.6262690525,97530.7118335379,91223.441993366,92755.9369616687,92919.3398324729,98542.4416194019,98377.927541201,98132.5067755052,94539.1025583515,93317.2019908267,87300.2353698619,95890.821949712,93068.1918946383,100306.749079469,102248.062812035,95196.8686042483,98031.1094599922,89320.4811636915,93080.4042685564,89750.4342784456,101319.508634803,101682.854338282,93654.1810155041
"Q3TX21","Cyr61","Protein CYR61",0.000447309274142513,0.255800310396303,24,15,24,121734.354562454,115157.30092315,109636.695965619,100628.143293328,95412.833199123,102883.577542383,114433.512841098,118405.244020989,123349.710382978,115005.755401049,108852.60693958,102898.315501158,107376.144811801,114701.906495969,118214.629846835,122968.727900119,118653.002967256,119874.425404842,119418.268198128,117028.269559409,116536.241706192,122683.338046198,128150.303881775,122892.659821903
"Q3TWG9","Serpinh1","Serpin H1",0.0357548023990589,0.101864729203887,9,15,24,4581993.72200424,4323162.03902056,4626211.9576664,4904195.37055722,4342520.6732782,4488526.33018056,4304568.58232106,4143366.50341799,4281344.97028244,4319607.74402686,4458847.89964245,4240207.0892786,4150402.05194314,4184477.21614272,4289667.77218585,4165636.11761711,4276644.08906179,4187402.99202796,4365935.98575818,4182655.19112228,4191589.47598395,3972647.79648153,4163265.96558046,4260960.92320395
"Q6ZWX2","Tmsb4x","Thymosin beta-4;Hematopoietic system regulatory peptide",0.00341897142277792,0.253775950628207,12,9,24,926988.825979376,1005887.59193536,1067750.1425759,1083069.71794134,958720.823701029,935915.667225629,889601.258952252,940757.850298505,1031122.5296844,1158965.90394087,1036436.95092491,1096108.59500468,1009791.43213611,1059811.74364328,1013442.73394849,1035857.9355075,1092688.82679357,1143326.96812522,1099931.57513804,1156822.79330845,1056830.19066058,1074085.95602105,927219.86701106,1082868.69097265
"Q5M9J9","Akr1b7","Aldose reductase-related protein 1",0.00094710876713928,0.126838859630051,9,12,24,119222.525894905,119151.09850119,125374.446264725,119293.371595502,121057.938467329,117829.29481202,116257.859058156,117752.106414271,125099.487769603,127055.087260988,131818.263870806,125922.737646427,122723.878363605,125576.887014606,117817.110197247,120933.688387762,127613.88983033,123909.238733978,127493.054037787,120832.897579029,124442.616930221,121123.470236103,119272.299903191,121498.97681598
"Q3UFK0","Emb","Embigin",0.0180865662748551,0.105438474267519,9,6,24,406976.707925807,408321.531189708,418565.348506373,430573.853029491,376687.642662656,394133.543159605,410068.976156537,414859.129736372,406448.571947878,402441.94873924,410659.354965232,396680.234745079,406261.296585978,404273.013595444,414360.686327058,408984.165282546,420375.559522311,413891.803015837,412202.374767249,405586.393312901,388260.173676883,388354.053494828,405153.327580681,408957.451831629
