Majority protein IDs
A0A023T672;Q9CWZ3;A0A0G2JFX7;A0A0G2JEA9;A0A0N4SUH6
A0A023T778;Q9CQL1;G3UZW7
A0A024QYR9;O08586;Q8BSR7;Q3UUN5
Q8CDM3;A0A067XG46;Q3UWJ5;A2ADP2;Q9R0X5
A0A068BD34;Q61193;G3UZ21
A0A068BD58;A0A068BIR7;Q9Z1P7;A0A068BFV2
Q8VCR0;G3UXP8;A0A068BES4;A0A068BIV0;A0A068BFV6;A0A068BD65;A0A068BGV8;Q3TWJ1;A0A068BGT5;P28704-2;P28704
A0A068BEP2;Q9Z1P8;Q8CEZ7;G3UWT7
Q3TBA3;Q78E61;Q62429;Q62428;Q3U6V4;Q3U543;A0A068BER1;P21958;Q5D0F3
Q78ZJ8;A0A068BFR3;P46638;G3UY29;E9Q3P9;F8WGS1;G3UZD3;Q3UZ37;G3UZL4
E9PUA5;A0A068BFR6;Q9QWT9-3;Q9QWT9-2;Q9QWT9;Q5BJ94
Q3UM80;A0A068BFS0;Q9Z0H1;Q8R0T3;A0A068BIU7
A0A068BFS4;O35730;O35730-2;O35730-3
A0A068BGT0;Q8C754;Q3V3A4;G3UY33;Q8C754-2
Q14C53;A0A068BIT0;Q31125
A0A068BIT8;P28063;G3UZW8
A0A068EW80;Q60953;Q60953-2;D3Z3A6;D3YXR5;F7BTZ2;Q8BSJ6
Q7JCZ1;A0A075DC90;P00405
A0A075DC92;Q9MD77;Q7YBV2;A0A141CM23;P03903
Q3TNL9;Q4JFN6;G3EB90;A0A141CM15;A0A075DCA9;P03888;A0A141CM41
Q9MD59;Q6QN84;M1VMU3;A0A141CM42;A0A141CM29;A0A141CM16;A0A075DCF9;P03893
Q7JCX7;Q7JCA9;G3EBA9;A3R3W7;A0A141CM47;A0A075DCG2;P00416
Q7GIP5;A0A141CM22;A0A075DCW1;P03899
Q3V2T7;B3Y998;L0L4R1;L0L4K0;L0L1W8;V9TRK2;V9TQ89;V9TP30;V9TP20;V9TN76;A8DUS7;A8DUR3;W0SMJ3;W0SLU4;U6C8B8;U6C8B6;U6C7E5;U6C7D9;U6C6V9;U6C6V7;Q9TDS6;B1P8W3;R9TNV1;Q7JCZ3;Q71EK3;Q71EK1;Q71EJ7;Q3V2F9;G3EBA2;A3R3Q8;A0A141CM53;A0A075DCW5;A0A140GE27;P00158;A0A0K1W397;Q5VI45;Q9TET3;C4PAV8;B0LAD5;E3VQ38;G9B4I2;G9B4I1;G9B4H2;G9B4G5;G9B4G3;A0A023UL25;H8Y1I5;A0A023NE65;A0A023NCS0;A0A023NE78;A0A023NDP5;A0A023ND59;A0A023NDQ1;A0A023NCR8;A0A023NDP0;A0A0U3AJS9;A0A0U2REU1;A0A0U2QFD1;A8DUU6;A0A0U2UZH0;A0A0U2M1A2;A0A0U2M169;A0A0U2L632;A0A0U2K7A0;Q36290
Q52L52;A0A075F882;A0A075F891;A0A075F5C6;A0A075F6C2;P38532-2;P38532
A0A077K846;Q3TZM9;Q3TZM9-2;Q3TZM9-3
A0A087WP63;A0A087WNX7;A0A087WNL7;A0A087WQ44
A0A087WNS9;Q8JZT1;A0A087WQ65;A0A087WRZ2;A0A087WNT2;A0A087WPY4;Q9CXN2;Q99JA5;Q64253
A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4
A0A087WNV1;A0A087WSR7;A0A087WR52;Q8K2K6-3;Q8K2K6-1;Q8K2K6;Q8K2K6-2;A0A087WRL1
A0A087WQX2;A0A087WQ51;A0A087WQ74;A0A087WNY4;P81183-2;P81183
A0A087WRP7;A0A087WNZ5;P0CW02;P0CW03
F6T2X5;Q8K058;Q6ZPL5;A0A087WP46
A0A087WP74;B2KFD2;Q5DTW7-3;Q5DTW7;A0A087WP47
A0A087WPB2;Q8BM01;A0A087WRH9;Q8BX65;Q8BX65-2;A0A087WRW6
Q6PED7;E9PWJ4;Q8VDM3;E9PZ86;A0A087WPF7;Q3UX71;Q6ZQB3;Q9CSL7
A0A087WPL5;O70133;O70133-3
A0A087WQT9;Q5S8D1;F8WJL1;B7ZN95;A0A087WR02;A0A087WPZ8;C7TQ60;A0A087WS40;C7TQ61;A0A087WQJ4;A0A087WRZ6;A0A087WS67;A0A087WPP1;Q0PCR6;C7TQ59;C7TQ57;A0A087WRM3;C7TQ58;A0A087WSE7;F7C376;C7TQ62;Q01815-3;Q01815-2;Q01815
A0A087WPP8;Q6AXH6;Q6AXD2;P62484;A0A087WRS3;A0A087WNT3;A0A087WR90;A0A087WNU9
A0A087WPS0;Q8C8M7;E9PWL5;Q3TY79;J3QK26;A0A1B0GXK0;A0A087WSK4;Q8C537;Q8BHD2;F6QG91;Q56A02;A0A087WPU8
A0A087WS03;A0A087WQ32;G3X9F1;Q9R1S3-2;Q9R1S3-3;Q9R1S3
A0A087WQ61;A0A087WQU0;Q8C134;Q9ERD6-2;Q9ERD6-3;Q9ERD6-4;Q9ERD6
A0A087WQC4;H3BJR2;K3W4L1;H3BK01;Q8R2K4-2;Q8R2K4
S4W2P0;Q05BP3;S4W6L8;A0A087WQE9;Q9D9S9;G3X9J5;Q3U5A0;Q80TI9;Q9WV74
A0A087WQH8
A0A087WQN7;F8VQ87;P97789-2;P97789;P97789-3;A0A087WNV6
A0A087WQP9;Q8C0Y0-3;Q8C0Y0-2;Q8C0Y0
A0A087WQS0;A0A1D5RM59;E9Q0S6;A0A087WQM0;A0A087WQ94;A0A087WRU0;Q7TSV1
A0A087WR70;A0A087WQS1;Q3U9H2;Q8VEK1;Q3U907;Q3U9B2;Q9ERE3
A0A087WQS2;Q9CQC6;A0A087WPF9
Q3U607;A0A087WQT6;O89110;Q4FK85
A0A087WQV4;Q8CGA4
Q64HC9;A0A087WQZ9;Q14AM4;Q9JHF9
A0A087WR00;Q3TH93;O35425
A0A087WR24;Q2HXL6;B7ZNP0;A0A087WQK5;B7ZNN9
A0A087WRE7;Q8R0N6-2;Q8R0N6
A0A087WRF2;Q8BXK8;E9Q3K3;Q3UH88
A0A0R4J2B5;A0A087WRI8;G5E8E3;Q8R3Y5-2;Q8R3Y5
A0A087WRL6;A2AW67;A2BFG5;A2ARW8;Q569M0;Q569M1;A2ARW5;Q2TBY2;L7N246;A2AW66;A2ARR6
A0A087WRM0
F2Z4A3;A0A087WRT4;Q9QXA3
Q61935;A0A087WRZ7;A0A0G2JDM3;Q545G5;E9PWG4;Q6PCW9;A0A0G2JDW2;Q545T7;P05977-2;P05977;P09542
J3QQ16;A0A087WS16;O88493
A0A087WS73
Q8C073;A0A087WS96;Q8BG73;A0A087WQX3;A0A087WQU5
A0A087WSB8;Q9DCB1-3
A0A087WSE3;E9QQ25;Q62407;Q62407-4;Q62407-3
A0A087WSJ3;Q3U595
A0A087WSK7;Q921I0
F6YX19;A0A087WSN5;F7DFD7;Q99LV7-2;Q99LV7
A0A087WSN6;B9EHT6;Q3TCF1;B7ZNJ1;Q3TBB4
Q8C3V4;Q3TW11;A0A087WSP5;Q9D323;Q8C497;Q99K94;Q8C8M3;P42225
D6RDD4;A0A097BVN3;P97785-2;P97785
A0A097BW18;Q3U4U1;A0A097BW21;Q62009-5;Q62009-4;Q62009-3;Q62009-2;Q62009;Q6GUA3
A0A0A0MQ68;Q60759;Q8BVD4
A0A0A0MQ70;Q5SWT3
A0A0A0MQ73;Q6PDK2
A0A0A0MQ79;Q3TLH4;S4R2J9;Q3TLH4-5;S4R294
A0A0A0MQ80;B7ZNK9;Q3UMC0;A0A0G2JFY0
A0A0A0MQ82;Q9WTR2
A0A0A0MQ83;Q80V70;B1ASH4;Q69ZY6
A0A0A0MQ88;Q8BTD8;Q8K4R4;X1WI19;Q8K4R4-3
A0A0A0MQ89;Q80US4;V9GXE4
Q545H7;A0A0A0MQ90;P97352
S4R248;A0A0A0MQ95;S4R203;S4R221;Q8C0D4;B2RUJ8
A0A0A0MQ98;G3UZM1;Q69ZK6;G3UYW3
A0A0A0MQ99;V9GXX7;Q8K3D3-2
A0A0A0MQA2;Q6NS57;Q6NS57-2
A0A0A0MQA5;P68368
A0A0A0MQD1;Q8K1H1
A0A0A0MQD4;Q3ULW9;Q3U339;Q8K201;Q3UMU2
A0A0A0MQD7;A3KGS3;F7CGP0;A3KGS3-2
