"WT_female_mean","WT_male_mean","FC"
4811.98919352718,4153.43743307817,1.15855583984588
11959.3930096352,11687.0890809781,1.02329955104906
482460.948290707,451209.113658911,1.06926241887796
8160.56245760325,7417.66254002197,1.10015283299462
353924.647528492,351403.661984548,1.00717404460075
22663.7369616818,22797.7043711507,1.00591109090683
39613.6458190659,42353.2767084079,1.06915876670012
35414.6995728701,35358.8906274121,1.00157835679988
74041.2510528042,70364.6725827375,1.05225034573626
81747.973170764,87559.5503025837,1.07109139109394
11904.2308194507,11852.4383325378,1.004369774848
25905.1743483265,26096.5591833194,1.00738789990059
9217.26720239967,8963.01326212042,1.02836701596257
6637.74814296351,7068.73496739588,1.06492967421327
217982.467158291,221933.317803996,1.01812462578853
12193.6617638211,12235.585334185,1.00343814443732
1083.52958952642,1301.95934943036,1.20159095055208
247617.390238317,259997.131294468,1.04999544274429
11486.3426959601,11918.4161146267,1.03761627439677
4237.81367170153,4279.28499021733,1.00978601744402
70343.6838887319,66024.4343874133,1.06541895498831
78766.1179530417,80005.9127392851,1.01574020427137
33292.4074262582,40069.8463604048,1.20357311045044
15301.4111032053,17509.8943139261,1.14433199629923
20082.5913321246,18892.9834787179,1.06296559009575
827225.381627579,841674.935044984,1.01746749282399
11462.7014494062,9828.28418898715,1.16629731385367
61249.0751723843,62708.8550917284,1.02383350140774
14945.2875378829,15350.4126039065,1.02710721121937
29347.1055268182,32275.3028898636,1.0997780636448
10510.2647474055,9900.81324743191,1.06155570100584
7001.13845375872,7794.09751907927,1.11326144605737
123905.771227121,127552.140268398,1.02942856499067
3906.5012869285,3798.2750453475,1.02849352411
368320.199287896,380504.046338735,1.03307949733519
26837.7540666262,25273.9313308027,1.06187493015452
16425.7348801944,15108.4724527781,1.08718700262607
7400.01907642624,6741.66356710119,1.09765475579911
145908.893330669,118649.192599127,1.22975041072249
73171.1553486108,73274.2188978487,1.00140852701788
12348.3552652097,12165.2052996535,1.01505523014572
1212630.32436058,1209662.94348988,1.00245306420823
2756.82868630313,2651.99209694273,1.03953126009737
10289.8662984965,10976.3935157483,1.06671876945108
32452.1830771281,32612.6268832577,1.00494400656339
143371.222648573,133080.439736628,1.07732753913581
143758.858086137,133808.264679791,1.07436456507495
82753.5484065973,80057.062815294,1.03368204498739
233129.769505409,227180.796517961,1.02618607328889
39995.8288868495,38052.3667499999,1.05107335766046
16563.4608551571,14554.8409342232,1.13800356390092
169659.650126342,181043.611698413,1.06709881556159
186840.673507845,183043.697486507,1.02074354961944
23290.5094712401,26478.1351950921,1.13686371815044
33598.9179452079,36396.8981061813,1.08327590089467
5524.09388269018,5445.4773122747,1.0144370393828
626807.535731063,629253.389607519,1.00390208116053
89292.9679901838,85628.1768913938,1.04279889204506
46770.3250885049,44279.7449028545,1.05624648902369
34828.0881517301,33392.1550573363,1.04300210908605
157470.678523048,156973.686864962,1.00316608259646
181500.256626352,176346.426776343,1.02922559841003
7952.58499689709,8412.65023445899,1.05785103054433
49757.9065680674,48468.4805808865,1.02660339197201
57222.4272957206,56104.0141643878,1.01993463654946
50823.6515974402,43252.2718355544,1.17505160863393
2100.12202155937,1935.70215325788,1.08494068574794
505337.298743078,567244.804689467,1.12250729582077
76618.318053957,74305.1338166267,1.03113088044547
87470.9705585997,97395.0289101978,1.11345545028507
37048.7837534834,34024.8226026807,1.08887514818562
72589.2232808238,60504.7890568275,1.19972690447109
102036.772508016,105919.523294347,1.03805246570325
4657.70625574596,5174.66739562004,1.11099049864648
93560.1783329848,93351.4207674926,1.00223625482907
191463.375992058,200961.358091725,1.04960730505484
15900.1876080191,16249.8516518513,1.02199118981815
15808.7332645825,14811.9308764567,1.06729726167641
77224.0477012433,77027.3046016904,1.00255419945655
7384.95860586261,6750.60277075867,1.09397025075327
85399.1503295344,89023.178711398,1.04243635174213
13222.8694063191,13884.3296692956,1.05002395793612
153603.76373201,155655.172458151,1.0133551983122
50577.4446520159,52903.3063463448,1.04598614481873
43648.5853514751,48833.00531827,1.11877635724155
39433.6102176367,36934.9824669791,1.06764935526615
7366.35438214191,7329.43415963725,1.00503725413184
28495.787756558,30354.2322083912,1.06521821638026
39633.0190020295,43826.6047319253,1.10581040343359
46625.4221119424,45226.6195506311,1.03092874451396
7445.87723802756,7027.24720793167,1.05957240690542
22853.9269504385,21929.9007008079,1.04213545069069
23448.4037388775,24230.9054316382,1.03337121372843
51658.880882424,54559.4291476998,1.05614810494787
3152.96927325805,3223.82664505407,1.0224732198937
151948.705460044,156024.179860813,1.02682138283725
27868.8811477202,29613.9080720532,1.06261560753313
61707.8482311241,59686.7551681557,1.03386166758897
27033.2967768708,25830.0716584506,1.04658233760751
175482.140569439,170035.272061803,1.03203375653527
75333.3212901204,73008.4197242612,1.03184429377653
26945.2870149575,27103.9190536518,1.00588719053563
48601.4852203186,47092.1789025368,1.03205004212919
1043085.62669857,910264.451082268,1.14591493214789
7628.44915517183,7683.77670162866,1.00725279087943
48356.6326867308,48484.0376291378,1.00263469425658
7724.87574719928,7860.36620275584,1.01753949966194
99300.6129584111,91461.2391699754,1.0857125254324
22895.2131018245,21670.7733538293,1.05650189441804
25265.2670100339,16928.8331248341,1.49243995872169
12703.0205900619,14790.0610818254,1.16429482082366
38692.0862084871,37928.4072121627,1.02013474997915
30306.3335632517,32335.121383114,1.06694270079315
25655.5467301794,24427.6929856355,1.05026482628818
24659.2220402996,22919.8668437824,1.07588853846195
171184.272161403,172355.824787447,1.0068438099555
212186.492781235,203211.823455586,1.04416411000618
1251853.05739623,1299940.29547803,1.03841284549946
