"female_mean","male_mean","FC"
5617.36076106651,4496.83808001014,1.24918012637312
12501.5583914252,11840.582206936,1.05582294628232
467372.964862383,458170.841143239,1.02008448136111
7921.81398568786,7287.22084901915,1.08708301145479
321725.817488751,347026.968607583,1.07864196699016
22599.6432198214,22552.448810335,1.00209265121865
48846.9357947061,44020.2058572514,1.10964805464806
38489.715174111,37268.5904187869,1.03276552028403
68947.5891636084,67793.5163498064,1.01702335084445
73538.5145321023,80255.5475626523,1.09134034149708
13265.4749072824,12291.8632556107,1.07920781670162
26303.5488969649,26708.9837406565,1.01541369361525
10234.3326342643,9193.30648337053,1.11323740297105
6901.05960698073,6947.87976305383,1.00678448799743
211888.788820815,220161.182371727,1.03904120457221
12806.2256044795,12313.8909580122,1.03998205345053
1303.08355530894,1329.20225185017,1.0200437619175
251332.994150352,246195.934998335,1.02086573505794
11720.3673262671,11716.8205262045,1.00030271011276
4029.3779119311,4072.41515004662,1.01068086415724
78915.0275278652,73142.7327993456,1.07891822615317
84533.7121524056,83809.0357491925,1.00864675743773
39005.1790955939,36321.8945908736,1.07387512504357
13649.0143103577,16243.7406892051,1.19010357230547
21350.2105961519,19761.6099549924,1.08038821962267
791719.604870179,805656.260956893,1.01760302006036
12390.8704750794,10333.9254751436,1.19904778729859
61720.9634819955,61101.1860038113,1.01014346068742
15812.862860322,15892.3672291139,1.00502782889437
31739.6512389978,31190.9508872046,1.01759165194346
11959.6551007848,10400.2031424969,1.1499443748282
7071.21178658308,7415.1930784595,1.04864531034541
119133.883636442,125553.550057191,1.05388615081449
3648.87777733004,3930.1279248771,1.0770785333766
327633.932416746,361689.584745701,1.10394421627134
33472.1043967619,29126.3601989354,1.14920313311189
16762.3655638662,15597.8351502826,1.07465974619962
7579.46110169563,6832.68422815204,1.1092948025414
128442.23737226,127658.848148009,1.00613658383744
70197.6532216369,70638.2583105912,1.00627663559583
12990.8135454937,12744.8394606478,1.0192998966841
1125552.3838321,1185562.59251658,1.05331622903251
2317.71413299362,2480.66851251741,1.07030823051215
9934.38707549409,10302.1299029727,1.03701716318119
33317.6222289329,32885.3545152647,1.01314468765929
157018.304273869,141057.220657797,1.11315325469792
171083.507089215,143530.706634592,1.1919645008421
95601.2376882486,86821.5893731661,1.10112287022698
455654.778328597,280965.246525257,1.62174782811666
37496.738717312,39233.1750119234,1.04630899523562
25312.8588607284,16642.1376016162,1.52101006893911
173409.00753976,176699.344628141,1.01897443007755
173020.673164502,182060.702036196,1.05224825858294
21004.2340816001,24765.0310219549,1.17904946810935
32612.9800366919,35103.9689544933,1.07638029137475
5519.62530748114,5940.18321109105,1.07619319794043
615350.245385104,616914.105301765,1.00254141430574
88581.6478339702,87201.3064745323,1.01582936558228
49278.9058568766,46409.3386671091,1.06183167595536
37107.2549673003,34413.5586571624,1.07827427372371
148029.787575047,151114.279656519,1.02083696891011
161222.902827135,171728.05809644,1.06515919937609
7662.923874524,8542.54557808392,1.11478930470447
52247.5446371772,50638.829468668,1.0317684114224
54824.6676183872,54895.7489256174,1.00129652053205
59073.7875747621,48324.399648223,1.22244224459671
2085.40307055456,1807.47061415576,1.15376872753675
494332.552325073,549609.838200839,1.11182206313497
65801.9254536287,72170.3800796403,1.09678219265027
84999.274368318,96709.6022717589,1.13776973968857
27312.917037921,32062.4209458146,1.17389222474111
93784.1026615286,74506.0779397425,1.25874432334738
112350.834130701,109056.029383001,1.03021203656818
7501.79089498938,5257.09533020975,1.42698399473195
100035.994613856,97206.3452154294,1.02910971904309
170336.971503395,185636.899611642,1.0898215341814
16094.3672562873,16379.5609182933,1.01772009159879
18048.3530114708,15729.1887143569,1.14744335128976
73923.8539716813,75752.4049447445,1.02473560122777
7426.91096517117,7036.10168209273,1.055543438787
89589.2592635461,87077.9166532172,1.02884017793317
14185.1229886035,14176.6027674367,1.00060100584792
161915.997958585,159086.120332412,1.01778833766428
54476.65999988,53619.4251445526,1.01598739361745
49411.9310542468,46056.1645392381,1.07286248320026
39067.4106648577,37688.6284306887,1.03658350785316
7483.54237566309,7360.51689582614,1.01671424460784
30290.1759400994,29255.1451431838,1.03537944494378
42369.051795231,41650.6741698758,1.01724768301289
44061.2823246952,45592.6927136435,1.0347563735813
7659.92871013421,7530.60979629037,1.01717243587731
22743.5977238706,21434.4805773964,1.06107529136277
23997.9179408385,23914.3673102324,1.00349374204729
54282.1380609966,53703.4961069512,1.01077475389857
3353.52502310638,3344.2905441742,1.00276126694442
152187.610595267,152641.07648212,1.0029796504793
24573.4667972645,27508.5750788802,1.11944217337467
59158.5135682917,59298.3552505956,1.00236384712646
23607.9874187871,26320.0531322078,1.11487915785919
191461.593867407,171892.305514532,1.11384621489774
71137.8642198633,71851.6702376701,1.01003412213221
26221.4424292616,25740.1903635557,1.01869652317674
44894.8672180256,46115.4783142458,1.02718821040928
982695.873516644,911625.8703333,1.07795961643493
7799.15181508585,7731.21246655409,1.0087876706048
48216.0608038541,47269.8107769328,1.020018062509
7502.64900133601,7611.46401316199,1.01450354558858
98554.2206855275,90886.9266772389,1.08436080180725
31870.1714251703,25758.7783289412,1.23725477265211
17737.372968936,15913.4368940975,1.11461610002771
10075.1753989825,12528.4770274666,1.24349964455526
36572.3293432203,36931.7201850405,1.00982685129097
34127.1286274976,32159.6712338838,1.06117778317152
28523.5678457583,25772.4385360161,1.10674695395617
21045.6600766865,21338.6647724822,1.01392233338028
178053.389808558,173570.188841726,1.02582932585803
215550.135283557,209124.625658096,1.03072574358587
1315469.0200329,1327316.46685121,1.00900625300778
