"Surf1"
"Stoml2"
"Atp5j"
"Atp5j2"
"Cox5b"
"Atp5f1"
"Msh2"
"Atp5c1"
"Atp5b"
"Atp5a1"
"Gbas"
"Cyc1"
"Atp5o"
"Atp5d"
"Atp5l"
