Lhpp
Phpt1
Ppp3cb
Ppm1a
Ppp1ca
Ppp1cb
Ppp2cb
Ppp1cc
Ppp3ca
Ppp2ca
Ppp4c
Ppp5c
Ppm1g
Cpped1
Ublcp1
Ppm1f
Ppp6c
Dusp3
Pten
Ptprf
Ptprs
Ptprk
Ptprg
Ptpn13
Ptp4a2
Ptpn11
Ptpn12
Ptpn2
Ptpn9
Ptpn1
Ptpn21
Acp1
Ptpn14
Ptprm
Pptc7
Sirpa
Ptpn23
Ptpra
Mdp1
