Speg
Dclk1
Srpk2
Mark2
Csnk1g1
Stk10
Tbk1
Stk26
Phka1
Stk39
Eif2ak4
Slk
Rps6ka3
Tlk2
Mylk
Pak3
Cdc42bpb
Strap
Taok1
Taok3
Spag9
Cdc42bpa
Tnk2
Adck5
Sik3
Rps6ka1
Map4k5
Csnk1a1
Rps6kc1
Map4k3
Cdk2ap1
Braf
Rock2
Pak1
Map3k2
Ptk2
Csnk2b
Mapk12
Cdk14
Bmpr2
Ilk
GRK6
Araf
Prkaca
Prkg1
Cdk1
Prkce
Cdk11b
Prkar2b
Akt1
Acvr1
Mapk14
Mapk1
Prkacb
Pkn1
Rock1
Wnk1
Mark3
Dapk3
Cdk6
Map3k5
Gsk3a
Pacsin2
Zak
Grk5
Prkaa1
Prkag1
Akt2
Adrbk1
Mapkapk2
Stk24
Prkag2
Cdk2
Stk25
Srpk1
Csnk1d
Prkci
Aak1
Gak
Map3k3
Vrk1
Rps6kb1
Camk1
Riok3
Prkca
Prkcd
Prkab1
Map3k7
Cdk5
Pacsin3
Chek2
Cdk4
Csnk2a2
Ripk2
Prkd3
Gsk3b
Mapk9
Lrrk2
2810408M09Rik
Ripk1
Prpf4b
Csnk2a1
Prkd1
Mapk3
Peak1
Cdk13
Oxsr1
Prkab2
Camk2d
Taok2
Camk2g
Phkb
Ulk1
Mast4
Smg1
Irak1
Pak4
Pkn2
Rps6ka5
Camkk2
Aurkaip1
Eef2k
Tab1
Pak2
Cdk17
Prkar2a
Nek9
Mek4b
Irak4
Prkcdbp
Stk38
Cdk16
Eif2ak2
Bmp2k
Riok1
Tab2
Raf1
Adck1
Mlkl
Prkar1a
Nek6
Nek7
Zak
Stk3
Stk4
Mtor
Ripk3
Stk11
Rps6ka4
Dyrk1a
Map2k1
Map2k4
Map2k3
Dstyk
Map2k7
Map2k2
Map2k5
Hgs
Ror2
D8Ertd82e
Igf1r
Abl2
Src
Jak2
Ptk2b
Insr
Csk
Ephb3
Erbb2
Fer
Egfr
Abl1
Lyn
Jak1
Mst1r
Axl
Pdgfrb
Yes1
Ephb4
Frk
Ror1
Baz1b
