"Stoml2"
"Atp5e"
"Atp5j"
"Atp5j2"
"Cox5b"
"Atp5f1"
"Atp5c1"
"Atp5b"
"Atp5a1"
"Cyc1"
"Atp5o"
"Atp5k"
"Atp5d"
"Atp5l"
