"Trex1"
"Ndufb8"
"Surf1"
"Stoml2"
"ND4"
"Pgm2"
"Agl"
"Eno3"
"Ndufa10"
"Uqcrh"
"Eno2"
"Pkm"
"Pfkl"
"Hk1"
"Pfkm"
"Akt1"
"Pgam1"
"Ndufb6"
"Pgk1"
"Mybbp1a"
"Ndufs4"
"Bloc1s1"
"Sdha"
"Ndufaf1"
"Phka1"
"Oxct1"
"Sco2"
"Cox5b"
"Ndufaf2"
"Cox4i1"
"Sdhaf2"
"Etfdh"
"Cox5a"
"Gsk3b"
"Tpi1"
"Aldoa"
"Gbas"
"Ndufa5"
"Cyc1"
"Ndufc2"
"Ndufs2"
"Pfkp"
"Enpp1"
"Atp5d"
"Ndufv3"
"Ndufs7"
"Ndufb9"
"Atp5l"
"Sdhc"
"Mdh2"
"Gapdh"
"Phkb"
"Uqcrfs1"
"Atp5j"
"Atp5j2"
"Atp5f1"
"Atp5c1"
"Atp5b"
"Pank2"
"Atp5a1"
"Atp5o"
"Rb1cc1"
"Uqcrb"
"Galk1"
"Ppp1r2"
"Dld"
"Il6st"
"Cat"
"Gm5506"
"Sdhb"
"Uqcr10"
"Msh2"
"Adsl"
"Ldha"
"Coq9"
"Gys1"
"Gyg"
"Ogdh"
"Gsk3a"
"Ptges3"
"Uqcrq"
"Uqcrc1"
