"H2-T23"
"Gbp7"
"Slc2a1"
"Psmc6"
"Ero1l"
"Ptgs2"
"Oas1a"
"Dpysl3"
"Acadl"
"Slc1a3"
"Camk2g"
"Hspd1"
"Hspa1b"
"Adamts5"
"Pgk1"
"App"
"Pkd2"
"Dctpp1"
"Tmem55b"
"Pdgfra"
"Mcm3"
"Uggt2"
"Hspa9"
"Mcm2"
"Ndst1"
"Dhx58"
"Pdgfrb"
"Hspa13"
"Adar"
"Matn2"
"Slc25a24"
"Pck2"
"Ppif"
"Stat2"
"Stat1"
"Pcna"
"Itga2"
"Txnrd2"
"Pnpt1"
"Trim30a"
"Col3a1"
"Eif2b1"
"Cnn2"
"Zmpste24"
"Isg15"
"Irgm1"
"Ggt5"
"Iigp1"
"Dtx3l"
"Tmem259"
"Msh2"
"Ifit3"
"Msh6"
"Trim34a"
"Serpinb2"
"Ptn"
"Pld1"
"Ror2"
"Lonp1"
"Wfs1"
"Trex1"
"Acot2"
"Fn1"
"Dysf"
"Loxl2"
"Cd44"
"Smc4"
"Irgm2"
"Pxdn"
"Lrrc8c"
"Hspa4l"
"Mif"
"Eif2b2"
"Hk1"
"Mmp2"
"Igtp"
"Wnt5a"
"Raet1d"
"Fstl1"
"Mybbp1a"
"Ak4"
"P2rx4"
"Parp14"
"Itgav"
"Trip13"
"Cad"
"Tmx1"
"Hmga2"
"Ddx21"
"Fam162a"
"Tap1"
"Mylk"
"Oasl2"
"Loxl3"
"Col1a1"
"Tapbp"
"Rab23"
"Rfc4"
"Gbp4"
"Colec12"
"Fmr1"
"Asns"
"Akr1c18"
"Arhgef2"
"Riok3"
"Bst2"
"Mcm6"
"Mcm7"
"Mcm4"
"Cdkn2a"
"Mcm5"
"Vkorc1l1"
"Prdx4"
"Tgfb1i1"
"Eif2ak2"
"Abcc1"
"Cxcl12"
"Anxa7"
"Smc2"
"Aoc3"
"Zbp1"
"Gpx7"
"C1qbp"
"Cdk1"
"Parp9"
"Il1rn"
"Trim25"
"Gpx8"
"Sdc1"
"Camk2d"
"Tbl2"
"Eif2b3"
