"Uniprot_ID","Protein_names","Gene_names","pVal","WT_Relative_amplitudes","Means","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3","logbase","CKO_logbase","CKO_means"
"Q9D7X3","Dual specificity protein phosphatase 3","Dusp3",0.023027687578965,0.0632162023096039,319818.80492231,21,6,24,291366.607071924,292981.789871475,288803.364623083,298512.171606764,306414.865176585,308192.033968659,310136.458355798,312707.277040015,305813.430825773,318309.053181688,323244.100845118,323989.931542964,331647.149905706,332932.579141243,334637.135625031,331872.035093195,316921.383537377,323716.600099843,323030.989070593,324684.8987101,345066.937358556,343869.790205123,344116.268788136,342684.466490695,5.50490399610154,5.4417544876166,276537.789894743
"Q9D898","Actin-related protein 2/3 complex subunit 5-like protein","Arpc5l",0.00486232576542799,0.083284959284865,283798.990010797,9,15,24,288573.304159562,281967.384928184,290648.119398223,291060.57535243,280629.119831892,283764.138465263,282204.025788513,277290.587214064,288998.332858004,284733.566417584,297652.820170743,279755.966092004,284658.461765369,274841.055436708,278143.806314768,274436.831535159,290316.517060648,291159.400611674,285313.725707842,280261.977218599,292009.765119247,275820.546965492,284900.122828857,272035.609018293,5.4530108455488,5.43192388387515,270348.449947065
"Q9D8C4","Interferon-induced 35 kDa protein homolog","Ifi35",0.0463630096995417,0.222841144003061,281131.430674138,15,12,24,271877.507806021,258422.334161588,274547.73805293,279563.942160347,279166.46784453,277994.115952174,287840.13077739,272790.364191459,260277.868170442,317765.704783811,267678.9711193,272333.928040169,319929.709414804,279150.660648444,273031.191243561,264791.20657172,273855.744861307,295959.095349147,265891.509975728,301581.077345475,287298.682395574,288792.079958425,278021.199751229,298593.105603737,5.44890940272328,5.41874818553448,262269.739891716
"Q9ES34","Ubiquitin-protein ligase E3B","Ube3b",0.00546559556590516,0.239730032811793,29392.9590133236,21,12,24,28456.0194013867,30297.7760898957,29607.89755852,30213.4234120922,30237.6118932489,28404.0769367419,30763.6443383375,32561.566043418,28840.4787048132,28177.8122386217,25323.9176877061,25002.6830146094,29761.944536661,26172.1412089023,30809.1978833117,28262.9009505658,30158.0747260667,28258.4776353288,29585.3795780756,30201.3924070405,30642.150409013,30650.0697651725,32365.8550434083,30676.5248568289,4.46824330905563,4.45720737445283,28655.4593379555
"Q9ESW8","Pyroglutamyl-peptidase 1","Pgpep1",0.0306469734849076,0.0888425208347344,180703.327088453,15,12,24,177561.986498421,174373.16976167,181744.590611998,182463.024301768,186642.636522609,186084.310198089,175155.427318734,178524.846373306,176927.69346932,179383.998750106,177833.321620059,181543.549851377,192545.830168124,184305.65560856,182663.667643839,180170.754349347,181411.751433912,178993.290416438,184088.608549541,177374.090503985,179035.067261903,176790.151133204,182858.448859597,178403.97891696,5.25696614881358,5.23733323156578,172716.262527659
"Q9ESX5","H/ACA ribonucleoprotein complex subunit 4","Dkc1",0.0456579996780082,0.159302353948198,533638.702938349,3,15,24,578757.32174202,521278.417377607,542750.73452087,573111.298783262,539545.897216531,522511.763891489,546616.012377359,523730.850435012,556055.549224064,598248.25192849,536752.402419379,539870.831745489,524736.882559424,528132.890020358,516569.559547957,524323.777847613,540571.935580004,540047.301884061,487639.338268711,507049.968751815,509776.634312813,507160.946789169,513124.86250439,528965.440792479,5.72724731990215,5.62307030234573,419826.93887203
"Q9JIF7","Coatomer subunit beta","Copb1",0.0095579361945496,0.0611694861710974,3167930.13076605,9,15,24,3288148.49074763,3256286.10902249,3269473.44228751,3201169.63773527,3215641.43731459,3223662.05597624,3203829.53377256,3186068.39810587,3136242.78956333,3142327.23877811,3227162.85481504,3258569.89794693,3185968.278453,3146067.40769343,3055893.1711378,3099034.72814175,3088639.68786566,3103179.3100033,3192754.81222025,3158477.21520229,3147700.25348986,3099395.41473421,3120729.24713024,3023901.72624794,6.50077559458495,6.47938851627474,3015702.64062193
"Q9JJ06","Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1","C1galt1",0.0331189069089036,0.240016735683988,21691.6436505737,21,12,24,20093.9266239789,20161.9080331015,22907.8717104567,19490.8182893018,20666.3661887028,20309.4241445849,23817.4004932764,23570.727867734,23203.0109980696,21741.9296780045,20651.6320147761,20825.7466247409,23835.8163296746,21505.5237843512,23336.9391358852,22888.0585889961,20243.4764572467,20938.5543658038,18405.9001899022,22318.8799070011,21859.2309108299,22946.7382131596,21575.1183913933,23304.4486727959,4.3362924612502,4.21206938640976,16295.5636298769
"Q9JJU8","SH3 domain-binding glutamic acid-rich-like protein","Sh3bgrl",0.0123926619541394,0.0838313114499703,1661336.4553964,15,15,24,1644346.97482185,1555983.65415746,1643978.87630002,1652651.40428182,1656842.64478968,1683068.35653261,1653419.67567322,1659783.951699,1634871.04595985,1642867.48176591,1659198.77857295,1716600.92294182,1668568.85314852,1654657.86714317,1600958.41675936,1631128.44888031,1666794.48501145,1635935.0509309,1751717.88848901,1666158.55098737,1771526.60657309,1664245.5030402,1700482.88243292,1656286.60862114,6.22045759507922,6.15554841233557,1430699.45703888
"Q9JMA1","Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase","Usp14",0.0132188394177487,0.0904156613997334,1160799.61918795,12,9,24,1186040.42118299,1170628.70086822,1164690.50639299,1194474.28622374,1213514.58137282,1202295.68276634,1168184.63890498,1168642.82779423,1158162.11111761,1161859.48365776,1184118.94944737,1172924.02234042,1150643.46273146,1111387.84716536,1103227.53682969,1068961.10010544,1158896.41335432,1154126.52289003,1170137.5002802,1179938.20741351,1154520.530232,1173509.28382973,1131618.4151187,1156687.82849078,6.06475725695501,6.08690501429896,1221532.46633251
