"Uniprot_ID","Protein_names","Gene_names","pVal","WT_Relative_amplitudes","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"Q6ZQ29-2","Serine/threonine-protein kinase TAO2","Taok2",0.000580969232547892,0.214829795719666,12,18,24,30724.3883331006,27215.6413572664,33991.535578835,31699.856425759,29361.9086212319,30763.2769959124,30441.6621102997,30417.2712515902,30503.4802383323,27585.3600304917,29853.7788908971,32026.0060759078,34267.8194508119,30710.3437352251,32425.6949915864,31184.4918932724,28656.323944888,29159.3860630975,31437.308023236,32799.0594901193,30850.0942925121,30807.0804732722,31223.1403231157,30437.391672242
"Q78HU3","Multivesicular body subunit 12A","Mvb12a",0.016995322871861,0.183808726343983,15,12,24,62751.3958447589,53930.2263629943,65456.9132405429,56781.1662101908,67174.9230256045,57383.5824105777,63976.9037949105,59758.7399239138,58682.9427309998,63564.7653619077,60394.8780875215,66726.7412103173,71813.0431558748,65556.2119867411,65201.4434514644,64469.7658928668,65320.1591777411,66899.83408227,69379.289727568,63979.6707053184,70864.4366638406,67966.4364452298,67525.8857804557,61073.8550830022
"Q78IK4","MICOS complex subunit Mic27","Apool",0.0147096566656292,0.174247350776688,21,12,24,186479.297289563,223102.157232302,206222.9747424,186071.38867327,198830.450189499,191018.068472215,219021.386253392,224105.057538218,216312.33593253,204604.610716057,197568.246409288,202965.291429831,216053.879867051,206750.187515583,221203.502560752,212188.769644917,210369.652649642,208093.464611435,200512.507647357,219144.995538586,205040.409625381,214925.334852651,216514.455120792,210769.939418453
"Q78XF5","Oligosaccharyltransferase complex subunit OSTC","Ostc",0.0260236226386263,0.21931312456656,24,12,24,166323.896484459,182989.410923807,166000.359712678,142482.489280565,147555.848149904,146570.882856934,172971.222687925,181357.448533332,190754.17731188,183701.752097501,174163.432786135,169918.297312059,192531.32607713,188629.241606459,205438.656253699,209946.757390491,199254.344659872,192652.363897645,183035.69592614,185180.330025572,184983.349822628,196315.323532429,197121.136320911,195288.869265951
"Q791T5-2","Mitochondrial carrier homolog 1","Mtch1",0.0449040367008412,0.18391021446424,24,12,24,235530.007914196,244542.977589855,245634.808010211,222855.234342167,225718.844536068,217841.458570338,247451.343612459,251569.204211432,240669.751453125,231522.722472087,240794.408881151,211683.010745327,233878.775866998,225809.367903642,249171.604327351,245231.823112805,258147.887548875,248732.523052364,241994.853167343,250440.31597886,244492.553301089,264757.520778519,247945.212617345,261921.793347054
"Q7M759","Alpha/beta hydrolase domain-containing protein 17B","Abhd17b",0.00499129944684465,0.104889505165891,24,9,24,43663.6505789659,43713.3110559927,40803.378127261,41063.3588871713,45422.1084773818,42954.9240309117,45974.0068888364,47395.1094355283,44910.3302287012,44849.5219715822,42986.1429861799,43499.7200602681,44568.6392629715,43689.8443369696,43033.7190346547,45950.6743437014,43276.1218089872,45194.2378578494,42561.3198257522,42892.4875032883,42357.6814303425,47772.3960117525,42105.2198312313,45267.1449944979
"Q7TNS2","MICOS complex subunit Mic10","Minos1",0.00097782340546201,0.389134614793334,21,15,24,38610.3748960472,45157.3621579457,38272.7389017009,30764.5950674922,35092.0671518021,33942.6850826425,42966.519009994,40314.7931906301,41220.6579132775,40218.3546451651,29385.1560106717,33169.9189666613,37737.0204273014,40881.9908337967,40389.0999902441,42932.869315452,42028.7696399858,43355.8094504371,35130.5014459478,37909.593638059,36244.240748331,41684.5911011819,45432.311940243,41458.2151213721
"Q80T21","ADAMTS-like protein 4","Adamtsl4",0.00261184084542923,0.255501857435799,24,12,24,254453.733302826,281828.593510444,271301.077702279,233151.827832514,240596.593301571,248062.49137775,275941.695525045,291354.737686017,283607.742383284,261170.233036793,270833.971534033,248523.903250566,275884.081749128,278701.74450993,293835.545201482,313704.528113243,262501.089480789,274320.684515475,258540.915981264,274291.636385447,260738.902262224,304205.972397205,274792.850852478,279680.978860887
"Q80TA9","Ectopic P granules protein 5 homolog","Epg5",0.0145749944091962,0.169074715686446,18,15,24,123491.197781713,138104.2835314,128296.786922829,132860.14938078,144581.050090919,142640.733374775,133617.462809573,153608.588764621,138610.721912015,135660.786247691,132606.371476695,137159.4956962,142853.35729908,141817.449903283,138178.992720409,145361.468439495,130087.031528949,134812.999115242,134997.752734653,146883.677532512,134884.395531858,144357.193414409,141478.95298652,138755.285410235
"Q80UP8","Sodium-dependent phosphate transporter 2","Slc20a2",0.0340265645093073,0.284575982720254,3,12,24,57925.4823591619,67550.1907258662,53106.581923062,56695.1292873845,51346.2474025385,56631.2396930525,54193.3507966332,65425.7879943429,57830.4937764618,53869.0655890487,53945.8776790162,53765.1008337387,53827.6049209512,53600.9928942138,59006.7579662306,55192.4636873927,55340.1441409613,55453.5136240852,56535.6884696688,52367.0958192028,55416.2996220675,57237.6773282325,54610.5772091274,55860.8181912463
"Q80UU9","Membrane-associated progesterone receptor component 2","Pgrmc2",0.0125448050114913,0.220343769116951,21,15,24,152788.989277324,167016.717544318,158596.975013191,140449.955145004,143229.381409753,143225.228715636,160247.519173258,169880.974937606,161878.91958591,161019.154515839,149370.441735668,144537.784398708,164330.035798211,165390.56859332,176086.027156737,175487.687338916,161885.580142998,170382.845266176,158901.198899672,171292.591516559,162216.107625896,188241.909035889,178468.107608243,174811.311585375
"Q80UY1","UPF0586 protein C9orf41 homolog","",0.0337116708333984,0.162974576960247,12,12,24,116663.678858933,108181.046354829,119850.53832329,113794.053139206,119046.402330455,110032.477894988,117753.277593254,104136.334030373,118655.802025572,120842.828111656,124840.464174806,122349.536944652,123961.886431374,125008.369065089,116388.88656219,108231.565873913,112673.124112905,114981.694200429,111068.033062056,119031.026434058,111891.089750319,117090.23926186,114552.463103855,110940.962979641
